Time_Index,natgas_Region1Beijing,natgas_Region2Tianjin,natgas_Region3Hebei,natgas_Region4Shanxi,natgas_Region5Innermongolia,natgas_Region6Liaoning,natgas_Region7Jilin,natgas_Region8Heilongjiang,natgas_Region9Shanghai,natgas_Region10Jiangsu,natgas_Region11Zhejiang,natgas_Region12Anhui,natgas_Region13Fujian,natgas_Region14Jiangxi,natgas_Region15Shandong,natgas_Region16Henan,natgas_Region17Hubei,natgas_Region18Hunan,natgas_Region19Guangdong,natgas_Region20Guangxi,natgas_Region21Hainan,natgas_Region22Chongqing,natgas_Region23Sichuan,natgas_Region24Guizhou,natgas_Region25Yunnan,natgas_Region26Tibet,natgas_Region27Shaanxi,natgas_Region28Gansu,natgas_Region29Qinghai,natgas_Region30Ningxia,natgas_Region31Xinjiang,coal_Region1Beijing,coal_Region2Tianjin,coal_Region3Hebei,coal_Region4Shanxi,coal_Region5Innermongolia,coal_Region6Liaoning,coal_Region7Jilin,coal_Region8Heilongjiang,coal_Region9Shanghai,coal_Region10Jiangsu,coal_Region11Zhejiang,coal_Region12Anhui,coal_Region13Fujian,coal_Region14Jiangxi,coal_Region15Shandong,coal_Region16Henan,coal_Region17Hubei,coal_Region18Hunan,coal_Region19Guangdong,coal_Region20Guangxi,coal_Region21Hainan,coal_Region22Chongqing,coal_Region23Sichuan,coal_Region24Guizhou,coal_Region25Yunnan,coal_Region26Tibet,coal_Region27Shaanxi,coal_Region28Gansu,coal_Region29Qinghai,coal_Region30Ningxia,coal_Region31Xinjiang,uranium_source
3691,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3692,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3693,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3694,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3695,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3696,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3697,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3698,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3699,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3700,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3701,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3702,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3703,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3704,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3705,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3706,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3707,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3708,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3709,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3710,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3711,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3712,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3713,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3714,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3715,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3716,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3717,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3718,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3719,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3720,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3721,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3722,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3723,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
3724,25.66417961,25.66417961,25.45721042,24.78456055,19.42923275,25.45721042,23.43926082,23.43926082,27.37167543,27.19057739,27.26819083,26.51792752,27.37167543,25.27611238,25.45721042,25.74179306,25.27611238,25.27611238,27.37167543,25.74179306,22.30093026,22.30093026,22.40441486,22.97358014,22.97358014,27.37167543,19.42923275,20.28298066,21.05911512,18.75658288,17.61825234,12.9355744,14.25500299,11.38330547,10.42607297,6.623014093,13.86693576,14.43610103,13.16841474,14.07390494,15.03113746,14.56545678,15.80727192,14.77242597,17.82522152,15.34159124,15.54856043,17.07495821,17.92870612,15.34159124,17.72173693,12.41815142,15.75552962,16.79037557,12.80621866,10.94349594,12.9355744,11.46091892,13.68583771,12.54750717,10.14149033,6.209075712,2.797922
